Rank,Teams,GP,W,D,L,F,A,GD,P
1,Real Madrid,19,13,4,2,43,19,24,43
2,Atlético Madrid,18,12,5,1,33,12,21,41
3,Barcelona,19,12,2,5,51,22,29,38
4,Athletic Club,19,10,6,3,29,17,12,36
5,Villarreal,18,8,6,4,34,30,4,30
6,Mallorca,19,9,3,7,19,21,-2,30
7,Real Sociedad,18,7,4,7,16,13,3,25
8,Girona,18,7,4,7,26,25,1,25
9,Real Betis,18,6,7,5,21,22,-1,25
10,Osasuna,18,6,7,5,23,27,-4,25
11,Celta Vigo,18,7,3,8,27,28,-1,24
12,Rayo Vallecano,18,5,7,6,20,21,-1,22
13,Las Palmas,18,6,4,8,23,27,-4,22
14,Sevilla,18,6,4,8,20,27,-7,22
15,Leganés,18,4,6,8,17,28,-11,18
16,Alavés,18,4,5,9,21,30,-9,17
17,Getafe,18,3,7,8,11,15,-4,16
18,Espanyol,18,4,3,11,16,30,-14,15
19,Valencia,18,2,6,10,17,28,-11,12
20,Real Valladolid,18,3,3,12,12,37,-25,12
